date,peak_load_MW
2020-03-18,29124.12342215989
2020-03-19,29385.714285714286
2020-03-20,29041.60125588697
2020-03-21,26630.511463844796
2020-03-22,26086.22147083686
2020-03-23,29370.71651090343
2020-03-24,29466.42857142857
2020-03-25,30031.066330814443
2020-03-26,30854.79186834463
2020-03-27,31268.199233716477
2020-03-28,25898.726114649682
2020-03-29,25143.37175792507
2020-03-30,28708.674304418986
2020-03-31,29162.423178226516
2020-04-01,28278.314917127074
2020-04-02,25437.15170278638
2020-04-03,25126.675603217158
2020-04-04,24240.527182866557
2020-04-05,24351.289398280805
2020-04-06,28252.96167247387
2020-04-07,28113.50974930362
2020-04-08,28242.653232577668
2020-04-09,28293.076923076926
2020-04-10,28477.036129822412
2020-04-11,25760.129659643437
2020-04-12,24598.073555166375
2020-04-13,27614.9377593361
2020-04-14,27878.71674491393
2020-04-15,28177.276390008057
2020-04-16,28529.94555353902
2020-04-17,28987.14859437751
2020-04-18,26650.878533231476
2020-04-19,26509.632224168126
2020-04-20,29993.401759530792
2020-04-21,29991.089787525703
2020-04-22,28585.81560283688
2020-04-23,28041.19318181818
2020-04-24,27683.73071528752
2020-04-25,25659.64343598055
2020-04-26,25102.172164119063
2020-04-27,28715.146948003017
2020-04-28,28950.58678196417
2020-04-29,29529.56751985878
2020-04-30,29606.816798539257
2020-05-01,26788.710907704044
2020-05-02,26462.790697674416
2020-05-03,26822.784810126584
2020-05-04,32330.232558139534
2020-05-05,33329.41176470588
2020-05-06,32976.90086621751
2020-05-07,32510.530896431683
2020-05-08,33801.732673267325
2020-05-09,29709.44055944056
2020-05-10,29414.146341463416
2020-05-11,33204.856293359764
2020-05-12,31965.97623089983
2020-05-13,32274.32744043044
2020-05-14,33451.43422354105
2020-05-15,33786.380597014926
2020-05-16,30036.28614916286
2020-05-17,28692.54397834912
2020-05-18,32814.0562248996
2020-05-19,31339.972899728993
2020-05-20,31512.15786123488
2020-05-21,31561.48969889065
2020-05-22,30883.445378151257
2020-05-23,26893.509933774832
2020-05-24,26905.708908406526
2020-05-25,32445.020576131683
2020-05-26,32898.93813481071
